criterio,"promedio + frases de reseña, ponderadas",solo frases de reseña,promedio + frases de reseña,promedio + descripción (control),promedio (sin frases),solo descripción (control)
camaradería_masculina_rancia,-0.007958939618021433,-0.02126817091576063,0.002460699556643542,0.002514559482028389,0.0026733497418779395,-0.021636806145325416
insoportabilidad_prolongada,0.20374370863746538,0.08440714517628815,0.22284259798382616,0.22675582182506857,0.226483299137068,0.03228227388766449
control_emocional_artificial,0.3368801427527816,0.05216594227940654,0.30003519215114893,0.2833798971343941,0.282898203201108,-0.008956615791755662
personajes_diorama,0.1869053884440626,0.019316702785664264,0.15656628138819953,0.14616933184504494,0.14597032153756948,-0.023422855153747157
caos_asfixiante,0.3055653073380781,0.07164019723278381,0.2916935723114504,0.2895816587491725,0.2891630168516839,-0.01747585652119297
