representacion,dimensiones,MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"percentil 90 por dimensión, todas las reseñas",768,0.5842433253546213,0.39398593546390126,0.4544554447705565,0.19756610196096455
"percentil 90 por dimensión, hasta 100 reseñas",768,0.5864211726903832,0.3915240016998115,0.4552234495611591,0.19665447906022143
"percentil 90 por dimensión, hasta 50 reseñas",768,0.5954337460804494,0.38694689304475105,0.4410235054849304,0.18802896493473126
"promedio + percentiles de similitud, todas las reseñas",816,0.6037106709290299,0.38605737764805526,0.4453103152884707,0.20215683988306637
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.6041154228521703,0.3884770236984745,0.4454148842563953,0.2020393189253952
"promedio, todas las reseñas",768,0.605729450421604,0.38477385757801097,0.44356815739137934,0.20501844286679888
"promedio, hasta 100 reseñas",768,0.6064833141691198,0.38457004933232986,0.4437292145437562,0.20353515469252043
"percentil 75 por dimensión, todas las reseñas",768,0.6101452571319533,0.36672764153568627,0.4384581685752683,0.19550365995583094
"percentil 75 por dimensión, hasta 100 reseñas",768,0.6117130508525573,0.3664894492218179,0.4391545621530133,0.1944039064171784
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.6117426979746343,0.3893636694387308,0.43014036424354013,0.19093754922453965
"promedio, hasta 50 reseñas",768,0.6174798290517003,0.3770331639264459,0.42308729447271365,0.19121595933083407
"percentil 75 por dimensión, hasta 50 reseñas",768,0.6192989290906754,0.3595162180825625,0.42778038214413244,0.1804758297837305
