representacion,dimensiones,NDCG@10,Δ NDCG@10,desv. Δ NDCG@10,Precisión@10,ρ Spearman,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
promedio + frases de reseña,768-778,0.9398336493123407,3.510633713417199e-05,7.850015627303374e-05,0.3,0.6410429961604645,0.5995623363034199,-0.0022706755202597908,0.0023530265432749266,0.36739145091146963,0.3969981885135815,0.13193210747281156
promedio (sin frases),768,0.9397985429752065,0.0,0.0,0.3,0.6384804170038176,0.6018330118236797,0.0,0.0,0.36212275355742723,0.3969981885135815,0.11977293455833919
promedio + descripción (control),768-770,0.9397985429752065,0.0,0.0,0.3,0.6389313278700466,0.6014168357158961,-0.0004161761077835946,0.0003311037813252762,0.3634689242995309,0.3969981885135815,0.12426965825420225
solo descripción (control),2-768,0.9362657920974197,-0.003532750877786972,0.008007841236195844,0.27999999999999997,0.6515322369863006,0.6113846872418063,0.00955167541812656,0.01179832699293506,0.3505942810647194,0.3969981885135815,0.04267014546902047
"promedio + frases de reseña, ponderadas",768-778,0.9344417848384048,-0.005356758136801876,0.004286367196235689,0.27999999999999997,0.6517582780179426,0.6031579259678139,0.0013249141441341815,0.00916127668661052,0.380708119073353,0.3969981885135815,0.1904295671095397
solo frases de reseña,8-768,0.9343684754536822,-0.005430067521524462,0.0056406998017646745,0.27999999999999997,0.6520686452375548,0.6126675199414192,0.010834508117739516,0.009157895955187002,0.3695354925991473,0.3969981885135815,0.09683178685866788
