representacion,dimensiones,NDCG@10,Δ NDCG@10,desv. Δ NDCG@10,Precisión@10,ρ Spearman,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
promedio + frases de reseña,768-778,0.9379104300489234,3.510633713417199e-05,7.850015627303374e-05,0.27999999999999997,0.6381536530254335,0.5996972469823245,-0.002564722683069154,0.0023118228065526205,0.36763523591595587,0.3969187578483481,0.13282465400894808
promedio (sin frases),768,0.9378753237117893,0.0,0.0,0.27999999999999997,0.6360045064292511,0.6022619696653937,0.0,0.0,0.3619888744164248,0.3969187578483481,0.11944192235811854
promedio + descripción (control),768-770,0.9378753237117893,0.0,0.0,0.27999999999999997,0.6366275832625857,0.6015580186181898,-0.0007039510472038879,0.0004172473934442875,0.363662749847198,0.3969187578483481,0.1243006142737011
solo descripción (control),2-768,0.9363964526786228,-0.0014788710331664844,0.006541798308161733,0.27999999999999997,0.6484578447165573,0.6108336817944631,0.00857171212906931,0.011476956192838882,0.35377497763828347,0.3969187578483481,0.04656804966656922
"promedio + frases de reseña, ponderadas",768-778,0.9360622780123198,-0.0018130456994695844,0.0027459945195242377,0.27999999999999997,0.649507237277963,0.604796698795495,0.00253472913010131,0.007857601654030422,0.3805649405405679,0.3969187578483481,0.19127802852751657
solo frases de reseña,8-768,0.9343439801162591,-0.0035313435955301566,0.005367161167880148,0.27999999999999997,0.6514877314982052,0.6126556742381305,0.01039370457273674,0.010370666497332686,0.3710941056410645,0.3969187578483481,0.09963676391371448
