criterio,solo descripción (control),promedio (sin frases),promedio + frases de reseña,promedio + descripción (control),solo frases de reseña,"promedio + frases de reseña, ponderadas"
camaradería_masculina_rancia,-0.02388858873168629,-0.015576011118638645,-0.01620914789345649,-0.01566202003045054,-0.03184345216920721,-0.03214627022944452
insoportabilidad_prolongada,0.2071241969486673,0.1352946237717464,0.16207543910096567,0.14280809196869307,0.24646380920192854,0.24945981744348505
control_emocional_artificial,-0.04071422660796178,0.31381474016596417,0.3239568946191082,0.31410424490039646,0.10608181449363455,0.3410492082377342
personajes_diorama,-0.004241444485219991,0.08539251232275061,0.09785428735722772,0.09311707574860814,0.009701669244948063,0.16448500351274792
caos_asfixiante,0.09456031120904689,0.0782837466487702,0.0964457968608952,0.08713567878125843,0.1677799787972685,0.23354238367306027
