film_id,n_chunks,evaluada,sim · filtro · Camaradería Masculina Rancia,sim · filtro · Insoportabilidad Prolongada,sim · filtro · Control Emocional Artificial,sim · filtro · Personajes Diorama,sim · filtro · Caos Asfixiante,sim · afinidad · Resistencia Femenina,sim · afinidad · Contemplación Inmersiva,sim · afinidad · Ternura y Empatía Radical,sim · afinidad · Humanismo Social,sim · afinidad · Vanguardia y Simbolismo,sim · excepción · Camaradería Masculina Rancia,sim · excepción · Insoportabilidad Prolongada,pred · gt_afinidad_resistencia_femenina,pred · gt_afinidad_contemplación_inmersiva,pred · gt_afinidad_ternura_y_empatía_radical,pred · gt_afinidad_humanismo_social,pred · gt_afinidad_vanguardia_y_simbolismo,pred · gt_cols_camaradería_masculina_rancia,pred · gt_cols_insoportabilidad_prolongada,pred · gt_cols_control_emocional_artificial,pred · gt_cols_personajes_diorama,pred · gt_cols_caos_asfixiante,pred · gt_excepcion_camaradería_masculina_rancia,pred · gt_excepcion_insoportabilidad_prolongada,pred · gt_excepcion_control_emocional_artificial,pred · gt_excepcion_personajes_diorama,pred · gt_excepcion_caos_asfixiante,nota_lineal,nota_gemini,nota_lineal_entrenamiento,nota_lineal_cv,error_lineal_cv,nota_reglas_cv,error_reglas_cv,nota_modelo
one-battle-after-another,19,False,0.3394449032595861,0.4664898149336788,0.20047353563631162,0.2693306470907305,0.5005726680823727,0.09939594947200844,0.4456008658087205,0.23477154658533883,0.23247700996372786,0.44590386565087364,0.4444379621286183,0.6125727690039686,6.7075057,3.9311905,5.6234107,6.539579,6.554387,0.4655034296689561,2.2229873620566343,1.9548395447215567,1.4245578436782094,3.7368115976504397,0.23387128,0.43834123,0.0,0.0030603847,0.31714597,7.2269333027609175,,,,,,,7.664167542537054
sinners,686,True,0.35905880480658414,0.5019058626982872,0.29070393111582615,0.4099971034421674,0.4960809955286931,0.1292953760063294,0.477019287454309,0.2711050013353044,0.3215862081850829,0.5657332618467946,0.5249380238719037,0.5967675208936862,6.8244257,5.426555,5.7128863,6.641356,6.9694695,0.3429479964733012,2.116236599620108,4.68654337424392,2.3034715009682243,2.7085320333591625,0.19907549,0.40532503,0.0,0.0077536763,0.12750445,7.70723202808747,7.5,7.70723202808747,7.965557526769694,0.4655575267696941,7.939935638701022,0.43993563870102204,7.936653824587934
marty-supreme,15,True,0.3060182016777161,0.5311482645697093,0.21532856173268383,0.23016320321887107,0.48465620430906825,0.0867885344785623,0.40050370047605344,0.28669072864112005,0.21998128276276002,0.43817050722216455,0.49689232485496954,0.6219137606347191,5.856207,3.805264,5.957206,6.2274833,6.8039923,0.6304635259691749,6.713110692989849,3.9270445613378926,0.7988736049761138,4.769736992828497,0.24434341,0.42383087,0.0,0.0032212231,0.46224722,7.006034001869111,5.5,7.0060340018691125,7.720647637434437,2.2206476374344373,7.530880722590588,2.030880722590588,6.891688920526774
it-was-just-an-accident,15,False,0.3768729849219678,0.5549987706013533,0.35353515804128244,0.3889515782890917,0.613376313492275,0.23933854611054634,0.5785336931397611,0.3931531368931346,0.3351756131568975,0.5105733427661445,0.45484301336246397,0.6696833015713134,7.2457433,7.845252,6.645396,8.98026,8.025038,0.5194424691700757,6.0980168639729,3.8670382866098967,0.0,5.968602028628635,0.27236372,0.44286656,0.0,0.010208036,0.10928288,8.531571957198215,,,,,,,8.218827436535388
sentimental-value,18,False,0.3603070974879583,0.46650981267666447,0.391417868836104,0.3489302490683121,0.5021210150570381,0.2604166039045295,0.5320837882035206,0.5263226367814148,0.3812931016749277,0.4853998867769542,0.522302818894777,0.5531393649388472,8.6081085,8.886376,10.0,8.05833,6.5989485,0.049276093148226174,0.0,10.0,1.200446805850759,0.0,0.0,0.22119218,0.0,0.0034110132,0.0,10.319244673486882,,,,,,,7.395643436337844
the-secret-agent,17,False,0.33050690725239806,0.5117364060238112,0.2899802613896218,0.4304377923428292,0.5490370133232614,0.16762503302811121,0.5688788052137135,0.26284620651013824,0.2608451159798946,0.6008187448001143,0.5162277689110322,0.6607755726062922,6.6506042,8.913591,6.185172,7.548245,8.756382,0.1807775191701907,3.9889643635163026,3.6758638271428845,1.0127299566888042,2.061070333976949,0.19417185,0.28932968,0.0,0.0074453205,0.011326715,8.496347909166587,,,,,,,8.775616663649476
weapons,14,False,0.3213131769375087,0.5568701623998105,0.27540534426899144,0.40752717804083244,0.5850476074049473,0.175898727326773,0.5690862393499774,0.32889199430756755,0.33665771674839656,0.5739685635446832,0.482594023806821,0.6726578371481176,6.396065,3.3251395,4.521223,4.6495514,8.748353,0.4011437714482806,5.48234132917934,3.559209088195516,1.7932284672615504,6.3024136856355994,0.24058639,0.4093815,0.0,0.0,0.18864536,8.524626852723195,,,,,,,7.128859653195089
train-dreams,20,False,0.26159683067739303,0.4789997658403084,0.3367833667018109,0.3895879873297513,0.527104754015409,0.14693037647288792,0.5914878910374661,0.41051450032696646,0.39392575386006545,0.6085213772592097,0.5186068986941335,0.6381850182791757,6.39414,9.412692,7.895467,7.5948415,8.429309,0.34171594223904117,2.257449150759216,2.581225597016793,2.0012106839389525,2.0686746575500945,0.16975786,0.32424244,0.0,0.0,0.0,9.563903207836479,,,,,,,9.091312119749166
hamnet,14,False,0.34434267550880066,0.5478746655858832,0.3281451986586822,0.40012992309189027,0.5353290007274574,0.2124678263414756,0.5250868608840346,0.37163361852072835,0.3108645592378646,0.5212231252068393,0.48348231088812266,0.5948179699414275,8.099162,4.5167165,7.8992686,6.102959,6.64607,0.15427009721225904,2.0057998823157863,5.768717980063035,1.4157519874843054,1.5538278799998877,0.09203109,0.37634557,0.0,0.003762084,0.14459941,8.6633721764639,,,,,,,8.224991288330205
sorry-baby,13,False,0.348515619037129,0.49603302086783924,0.34949271629741635,0.27981344051840523,0.5674877351839038,0.19001378680042558,0.5565454267173013,0.35677495964218053,0.3291239004255687,0.504541980073002,0.45481696527480303,0.6084612107938605,8.195514,5.344779,7.0576177,7.286027,7.1603107,0.2341141057989988,0.789509280566576,3.340568899075692,0.837729189055241,2.7212839946904888,0.11165349,0.35260627,0.0,0.0,0.14777492,9.155229503013631,,,,,,,8.390937944552874
