representacion,dimensiones,ρ Spearman,Δ ρ,desv. Δ ρ,mejora ρ,NDCG@10,Precisión@10,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
promedio (sin frases),384,-0.9999999999999998,0.0,0.0,referencia,0.6309297535714575,1.0,1.9273534610343792,0.0,0.0,-3.0053468796069236,-3.0,-3.0
promedio + frases de reseña,384-394,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9273534610343792,0.0,0.0,-3.0053468796069236,-3.0,-3.0
"promedio + frases de reseña, ponderadas",384-394,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9273534610343792,0.0,0.0,-3.0053468796069236,-3.0,-3.0
solo frases de reseña,8-384,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9273534610343792,0.0,0.0,-3.0053468796069236,-3.0,-3.0
promedio + descripción (control),384-386,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9273534610343792,0.0,0.0,-3.0053468796069236,-3.0,-3.0
solo descripción (control),2-384,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9273534610343792,0.0,0.0,-3.0053468796069236,-3.0,-3.0
