criterio,promedio (sin frases),promedio + frases de reseña,promedio + descripción (control),solo frases de reseña,solo descripción (control),"promedio + frases de reseña, ponderadas"
camaradería_masculina_rancia,0.002673315279893762,0.0024606602628801876,0.0025145205829132378,-0.02126812931766118,-0.021636701711593043,-0.007959638533748791
insoportabilidad_prolongada,0.22648332479982783,0.2228410334577097,0.22675580662999026,0.0843665523384941,0.03227878133259392,0.20370960822339096
control_emocional_artificial,0.2828981729926984,0.3000313389952433,0.2833797921874286,0.05227079183687078,-0.008956313889606516,0.336945138524107
personajes_diorama,0.14597029546529677,0.15656637812189791,0.1461693157871981,0.01931753514305894,-0.023422870507077496,0.1869067284015708
caos_asfixiante,0.2891630370470608,0.2916938986503662,0.2895816106956589,0.07165153605946,-0.01747652494158618,0.30557054490164404
