representacion,dimensiones,NDCG@10,Δ NDCG@10,desv. Δ NDCG@10,Precisión@10,ρ Spearman,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"promedio + percentiles de similitud, todas las reseñas",816,0.9381170200390775,0.0011810576430616004,0.008177212183950185,0.3,0.6444910002907973,0.5965455440209004,0.0024203216308481545,0.00317994089407952,0.3797262871782003,0.4459137735532016,0.18675584178819
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.9381080795765226,0.0011721171805067821,0.008172301509254493,0.3,0.6466717692074685,0.5964657624218037,0.002340540031751459,0.002856645590117835,0.38186100866183903,0.4474553716787303,0.18341637262488933
"promedio, hasta 100 reseñas",768,0.9373520208488901,0.0004160584528744238,0.0015011837766603006,0.3,0.6534635409302268,0.5950601830679111,0.0009349606778588315,0.00027451843687208675,0.3812267090319124,0.44845800625954546,0.18760322608879473
"promedio, todas las reseñas",768,0.9369359623960157,0.0,0.0,0.3,0.655051684136997,0.5941252223900523,0.0,0.0,0.3811249297421594,0.44640156202243375,0.18943762911695552
"percentil 95 por dimensión, hasta 100 reseñas",768,0.9366532867683361,-0.00028267562767980703,0.007305770174142856,0.24,0.6517746747767146,0.5964815583413264,0.0023563359512741135,0.01011444012509675,0.36295909542898686,0.4408935670353805,0.18863112443197227
"percentil 95 por dimensión, todas las reseñas",768,0.9366095090891016,-0.00032645330691425387,0.006693275103765189,0.26,0.6538090440614932,0.5943809278859067,0.0002557054958544747,0.011737946418873718,0.36553934355536927,0.43895212183881116,0.19048971806927323
"percentil 90 por dimensión, hasta 50 reseñas",768,0.9355441529451334,-0.0013918094508825086,0.016825075644576595,0.24,0.656321261744769,0.5987535984876029,0.004628376097550601,0.009195797399716642,0.36867537330635847,0.4297018384552507,0.1676432232864876
"percentil 50 por dimensión, todas las reseñas",768,0.9341605333547409,-0.0027754290412747907,0.007934614597322963,0.32,0.6547741104349287,0.5984752793462531,0.0043500569562007875,0.00387609489143367,0.374317711521182,0.4407313416317901,0.18259505953734886
"percentil 50 por dimensión, hasta 100 reseñas",768,0.9339125032295701,-0.003023459166445708,0.0078123024814790954,0.32,0.6539226501758418,0.5991509958868283,0.005025773496776043,0.003552929138993517,0.3757524590536009,0.4436504452795158,0.18116400855501427
"percentil 90 por dimensión, todas las reseñas",768,0.9336346284274141,-0.0033013339686017718,0.011414813802744714,0.3,0.65369895153831,0.594252462098797,0.00012723970874470858,0.011763290908152538,0.376902682853302,0.4518736311713961,0.18618127354497047
"percentil 90 por dimensión, hasta 100 reseñas",768,0.933561442111737,-0.003374520284278937,0.011491620176968906,0.27999999999999997,0.6540678786106792,0.5952320136844715,0.0011067912944192626,0.011119165247876657,0.37591284725934254,0.45319593371737754,0.18401655626065944
"percentil 75 por dimensión, hasta 100 reseñas",768,0.9335593673676481,-0.003376595028367646,0.014084390245468769,0.32,0.6299880671569956,0.6093198262802091,0.015194603890156722,0.009539703724757043,0.35527644793197544,0.43942438669658196,0.17953821116873597
"percentil 75 por dimensión, todas las reseñas",768,0.9335127106302978,-0.003423251765717916,0.013913508087725547,0.32,0.630550241743463,0.6086974418328984,0.014572219442846191,0.009246993415138889,0.3544810042095866,0.4365857038174738,0.18190769934100812
"percentil 95 por dimensión, hasta 50 reseñas",768,0.93238258638136,-0.004553376014655863,0.01770671344091071,0.24,0.6406682131028196,0.6048438385359742,0.010718616145921978,0.013881146326830632,0.3519538099163211,0.41297022398161365,0.18150483283638935
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.9260000426673531,-0.010935919728662724,0.01155404587247012,0.26,0.6457476947309628,0.600812316263838,0.006687093873785721,0.00920562064218469,0.3851111004460839,0.42853018700785955,0.17377131912558524
"percentil 75 por dimensión, hasta 50 reseñas",768,0.9254139615432683,-0.011522000852747571,0.015536815150230933,0.26,0.632863355927365,0.6097051345134739,0.015579912123421535,0.011161968496960507,0.35762183177582607,0.42498589364756256,0.16473681034110754
"percentil 50 por dimensión, hasta 50 reseñas",768,0.9217138346503881,-0.015222127745627723,0.017936041944304586,0.27999999999999997,0.6490750655646164,0.6067192652387559,0.01259404284870358,0.01089755478701373,0.3700164592156343,0.4176393752724771,0.16442745523275146
"promedio, hasta 50 reseñas",768,0.9211916715846433,-0.015744290811372453,0.01689712430472924,0.26,0.649582193889492,0.60226597452202,0.008140752131967766,0.009116872905062516,0.38029341088108326,0.42562715160642084,0.17608804399881217
