criterio,promedio + frases de reseña,solo descripción (control),"promedio + frases de reseña, ponderadas",promedio + descripción (control),promedio (sin frases),solo frases de reseña
camaradería_masculina_rancia,-0.013696341349450924,-0.021432553209536166,-0.022447817319306052,-0.01360066903541477,-0.013605838626162959,-0.02393329396752524
insoportabilidad_prolongada,0.17585211371699044,0.11691174404356512,0.1728154280661895,0.14518334368551544,0.139174944887419,0.20583410428832907
control_emocional_artificial,0.29701419210939484,-0.017228414616888132,0.36275359457732587,0.2692007909939682,0.26644965355619193,0.10119013644984501
personajes_diorama,0.1382137696749912,-0.030358902793759635,0.06196320978320913,0.13984074429272386,0.13961996108805755,-0.010391612994421661
caos_asfixiante,0.07902923937704542,0.043504630197197726,0.07355126260657788,0.07108587147272113,0.061939567091936154,0.0007819520742312847
