representacion,dimensiones,MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros,Δ MAE,desv. Δ MAE
promedio + frases de reseña,384-394,0.6260002684494674,0.2980041605924476,0.3442684133120431,0.1352825947057942,-0.0026655678654841307,0.0020350007730815614
promedio + descripción (control),384-386,0.6278866298868249,0.2910917510019483,0.3442684133120431,0.12234201628190278,-0.0007792064281266109,0.00041492460824706795
promedio (sin frases),384,0.6286658363149515,0.28857500593284674,0.3442684133120431,0.11871565759948835,0.0,0.0
solo descripción (control),2-384,0.6304926490860729,0.2789306615700533,0.3442684133120431,0.018279300724115783,0.0018268127711213778,0.010016626516018902
solo frases de reseña,8-384,0.6347583485772124,0.2868832761576211,0.3442684133120431,0.05469625717009169,0.006092512262260841,0.01023001249052701
"promedio + frases de reseña, ponderadas",384-394,0.6351641417900256,0.29142397620272975,0.3442684133120431,0.12972713554279927,0.006498305475073995,0.015078040031518684
