criterio,"promedio + frases de reseña, ponderadas",solo frases de reseña,promedio + descripción (control),promedio + frases de reseña,promedio (sin frases),solo descripción (control)
camaradería_masculina_rancia,-0.028575968460070312,-0.028986484806865852,-0.010511498856865953,-0.010739296956190126,-0.010322842312915904,-0.029434747283591432
insoportabilidad_prolongada,0.20557875115151752,0.09686232172136562,0.2361690536105753,0.23488270003790243,0.23593188918639965,0.039746029580098687
control_emocional_artificial,0.34943362312966686,0.039263413968642046,0.3015511921578181,0.3185076613331672,0.3010005171798297,-0.011501968275643237
personajes_diorama,0.17671746757111922,0.023497439008286457,0.14759679187453323,0.15593012798958217,0.14751103531834062,-0.029188092065291917
caos_asfixiante,0.2987613144521208,0.047356986269376344,0.28218734600210615,0.28526931365008423,0.2829625737591054,-0.032343494818829165
