representacion,dimensiones,ρ Spearman,Δ ρ,desv. Δ ρ,mejora ρ,NDCG@10,Precisión@10,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
solo frases de reseña,8-768,0.6784240925693759,0.011381107383325428,0.005042826788487235,10/10,0.9357945505854431,0.26,0.5854413789326466,0.001889789058166258,0.0033562103644025052,0.38047037018513996,0.4491532142364769,0.03559873523216092
"promedio + frases de reseña, ponderadas",768-778,0.6750569010358476,0.008013915849797226,0.00571821844754905,10/10,0.9377656447135566,0.27999999999999997,0.5793796624173636,-0.0041719274571167305,0.0021799908777576926,0.3941886942867039,0.4491532142364769,0.20038303756887083
solo descripción (control),2-768,0.6725036914556418,0.005460706269591453,0.005987466297382721,7/10,0.9387229111141018,0.3,0.5901202544685306,0.006568664594050233,0.0035962059124542392,0.3698957745960333,0.4491532142364769,-0.012544454572651414
promedio + frases de reseña,768-778,0.6693888928874963,0.002345907701445926,0.0018364408831262043,10/10,0.9381773341303801,0.29,0.5824184673181183,-0.0011331225563620984,0.0007877680656281558,0.39132755015795395,0.4491532142364769,0.19677010121090918
promedio + descripción (control),768-770,0.6672684406191649,0.00022545543311455196,0.0004979022567981096,8/10,0.9381628484768594,0.29,0.5834998304806642,-5.175939381614203e-05,6.102009820134016e-05,0.38988194204270527,0.4491532142364769,0.19139857695763335
promedio (sin frases),768,0.6670429851860504,0.0,0.0,referencia,0.9381628484768594,0.29,0.5835515898744803,0.0,0.0,0.3898468545593153,0.4491532142364769,0.19141663462615188
