representacion,dimensiones,MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"promedio, hasta 100 reseñas",384,0.6075771525427053,0.3342147369971057,0.35520451912328566,0.13464658628794354
"promedio, todas las reseñas",384,0.607635879239497,0.313555789653019,0.3597494441516271,0.14154087308041666
"promedio + percentiles de similitud, hasta 100 reseñas",432,0.6091191855215985,0.32750469177923314,0.35559598930812114,0.1354779545208362
"percentil 90 por dimensión, todas las reseñas",384,0.6107952402180703,0.32627931721333425,0.37329372434649233,0.14954113215001505
"percentil 75 por dimensión, todas las reseñas",384,0.6116472049549979,0.3154636202795169,0.3561827788975111,0.14257080009091344
"promedio + percentiles de similitud, todas las reseñas",432,0.6123718612198449,0.31358213110375466,0.3675656002150563,0.13686103377212538
"percentil 90 por dimensión, hasta 50 reseñas",384,0.6145704695192226,0.34203887704342895,0.36717416790043417,0.14490149371754119
"percentil 90 por dimensión, hasta 100 reseñas",384,0.6187038184156199,0.3198337618521697,0.35093775751333284,0.12619012535139354
"percentil 75 por dimensión, hasta 100 reseñas",384,0.6197838865871608,0.3193361632604055,0.3495619186121887,0.13098022700785877
"percentil 75 por dimensión, hasta 50 reseñas",384,0.6336169221755489,0.31561083012611457,0.35008286924907184,0.13204331254857637
"promedio, hasta 50 reseñas",384,0.6345569049792219,0.305838856812755,0.34868466968506706,0.1335119011314047
"promedio + percentiles de similitud, hasta 50 reseñas",432,0.6348125618355738,0.3017639222734818,0.35123496457010456,0.12611891233576789
