representacion,dimensiones,ρ Spearman,Δ ρ,desv. Δ ρ,mejora ρ,NDCG@10,Precisión@10,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
solo descripción (control),2-768,0.6516388159183183,0.007815983547478433,0.010472807877306516,7/10,0.9348252657849031,0.26,0.6091906467757455,0.009421417483237748,0.008080390979318498,0.3505658144190611,0.4008120469585876,0.04067106184694254
"promedio + frases de reseña, ponderadas",768-778,0.6500817094335093,0.006258877062669477,0.010222702772400142,7/10,0.9344456116888736,0.26,0.6013465413186526,0.0015773120261447615,0.007912319718158905,0.3833569969411058,0.4008120469585876,0.1793228668581404
solo frases de reseña,8-768,0.6487787527096658,0.004955920338825947,0.013385309311265732,5/10,0.9345944759145096,0.26,0.6115367630128014,0.011767533720293566,0.006608652692881976,0.3687397748865237,0.4008120469585876,0.0867414568523881
promedio + frases de reseña,768-778,0.6452973694632613,0.0014745370924215573,0.002027428216943809,6/10,0.9359041829362557,0.26,0.5981898243871994,-0.0015794049053084013,0.0018375929135683612,0.36595572841177715,0.4008120469585876,0.12933987188526938
promedio + descripción (control),768-770,0.6443791509720315,0.0005563186011916299,0.0010815920080044356,8/10,0.9358866297676887,0.26,0.5993712002745613,-0.000398029017946544,0.0004567148847728457,0.3626606581263677,0.4008120469585876,0.12222025216150818
promedio (sin frases),768,0.6438228323708398,0.0,0.0,referencia,0.9358866297676887,0.26,0.5997692292925078,0.0,0.0,0.3615462338844685,0.4008120469585876,0.11871133850517364
