criterio,promedio + frases de reseña,"promedio + frases de reseña, ponderadas",promedio (sin frases),promedio + descripción (control),solo frases de reseña,solo descripción (control)
camaradería_masculina_rancia,-0.02231809906282265,-0.03604988113362528,-0.02192205819742038,-0.022000017472262757,-0.03536579531433905,-0.02877657215648697
insoportabilidad_prolongada,0.16796773146341765,0.23828794513726398,0.14704470724180793,0.1531052005537928,0.23925083667124197,0.20838912755098477
control_emocional_artificial,0.3214247664366292,0.32808791845615676,0.3112088806063538,0.3117007009351109,0.10141282854336135,-0.034532369488784645
personajes_diorama,0.09053025930474118,0.14713307070777276,0.08274553757191261,0.08731126414935815,-0.006390599798888075,-0.016499140697814794
caos_asfixiante,0.08909470128438145,0.2191552811231337,0.07447962530321425,0.08098411264154193,0.13480001416056425,0.07477426402681434
