date        , rating, review_text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , film_id                 , film_title                     , director
26 Apr 2025 ,    0.0, "WOW - absolutely loved this. Terrific performances, some truly jaw-dropping music sequences (that first one at the juke joint is an all-timer), and the vampires are just a metaphorical wrapper for a story about racial and cultural identity, appropriation, and legacy. I thought the film was very, very good as the credits started to roll, but the mid-credit sequence elevated it to absolute greatness for me, and fully completed the emotional arc of the whole movie. Felt really bad for the people who wandered out too early. Michael B. Jordan is one of the most charismatic and impactful movie stars working today, Ryan Cooglers direction is superb, and Miles Caton, Wunmi Mosaku, Delroy Lindo, Jack OConnell, and Hailey Steinfeld are all exceptional. Highly recommended. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , sinners-2025            , Sinners (2025)                 , Ryan Coogler
18 Apr 2025 ,    1.0, May contain spoilers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , sinners-2025            , Sinners (2025)                 , Ryan Coogler
04 Apr 2025 ,    4.0, "Music is liberating. Music is the bridge between generations and ancestry. Vampires, blues, Michael B. Jordan, Hailee Steinfeld my god Coogler youve done it again. Once it gets going, its a force of nature that is tense, hilarious and powerful. Theres a specific scene with Sammy singing blues that I wont spoil  however, I will tell you its one of the best scenes Ive ever seen in a film ever. It displays the power of art so beautifully I damn near cried. The score is this lovely blend of different sounds from different generations and man it rocks. No surprise though, it was composed by THE Ludwig Göransson  THIS GUY CANT MISS! Its one that will benefit from multiple watches and I think will only get better on rewatch. Hyped to say I really enjoyed this  I saw Hailee in person so I win."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , sinners-2025            , Sinners (2025)                 , Ryan Coogler
10 Apr 2025 ,    4.0, "A bloody, muscular, barrelhouse of a vampire movie that throbs like the neck of a blues guitar on fire, Ryan Cooglers Sinners might be the first story the Creed director has ripped straight from his own guts, but it thrillingly continues his post-Fruitvale tradition of filtering real and imagined Black histories through the prism of blockbuster entertainment, and of doing so in a way that recognizes genre as a living connection between the past and the future, as opposed to seeing it as a necessary evil of funding his art in the present."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , sinners-2025            , Sinners (2025)                 , Ryan Coogler
07 May 2025 ,    4.0, To the extent that I have a basic read on this film  on what it is trying to say  it is as follows                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , sinners-2025            , Sinners (2025)                 , Ryan Coogler
28 Mar 2025 ,    3.0, "wasnt really feeling this, which is annoying to me and me alone because I was primed to enjoy and just felt like it was too all over the place, laden with backstory and uninterested in being the type of genre exercise it purports to be. theres a Marvelification that sets in in the back half down to the type of swooping Avengers shot where we see all our heroes before they go into battle that left a sour taste. just a messy movie  but not an uninteresting one, and the rare flick where a post-credits scene actually won me back a little. Miles Caton, though  what a great debut! and love Ruth E. Carters costume design, always, the tailoring on the Michael Bs  Hailees champagne colored dress is sooo good and glam"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , sinners-2025            , Sinners (2025)                 , Ryan Coogler
24 Dec 2025 ,    5.0, "Tricks you into thinking itll be a normal sports movie for 30 minutes before evolving into the most batshit, nightmarish, Safdie-esque Safdie comedy of errors to date. The third act of this might be the most exhilarated Ive been by a movie all decade."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , marty-supreme           , Marty Supreme (2025)           , Josh Safdie
15 Oct 2025 ,    5.0, "NO FUCKING NOTES. I arrived knowing this would be great but i left completely and utterly dazzled. Josh got the juice but he obviously fucking knows coz theres no way you pull this off without knowing youre THE fucking shit. Heartfelt, explosive, raw and sweaty with pace and desperation and humor in abundance, from the sperm credits at the beginning to the tears at the end. I felt it all. Timothée was inspired performance of a lifetime type vibes but obviously if hes already hit this level then theres undoubtedly so much more in the tank. Odessa is a rocket, i could watch her all day. Plus Abel! Fran! Gwenyth! Isaac (i squealed when he arrived)! Hailey! Tyler! Dan Lopatin on score! Even the fucking dog was good. I mean, this film is like the gift that keeps on giving and it left me thinking what is life without internal struggle and dream? Passionate to its core. Sometimes you gotta just say fuck it and go for the jugular. Cant wait to watch all over again and probably 5 times more."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , marty-supreme           , Marty Supreme (2025)           , Josh Safdie
27 Dec 2025 ,    5.0, the final movie of christmas parent-a-palooza. they did not like it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , marty-supreme           , Marty Supreme (2025)           , Josh Safdie
19 Dec 2025 ,    4.5, there are no fewer than 50 genius choices in this film. here are 10 of them                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , marty-supreme           , Marty Supreme (2025)           , Josh Safdie
25 Dec 2025 ,    5.0, "Hard to find words to describe how powerful, beautiful, and infuriating this movie is. An ode to the nightmare-fuel of American dreams, a complete deconstruction of hustle-grindset culture of 2025 told through 1952 and refracted through the 80s. Total thrill-ride that somehow got me crying in the final scene. Go see it. And its very funny."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , marty-supreme           , Marty Supreme (2025)           , Josh Safdie
16 Dec 2025 ,    3.0, "Much to ponder. Timothée is committed as hell, his energy never ending and all consuming. An intriguing counterpoint to Gwyneth Paltrows chilly haughtiness. Shame the rest of the movie. Im mixed on the performances of the cast overall and especially the characterization as imagined by its co-writerdirector. Adrenalized yet strangely boring for long stretches perhaps because every character is a means to shore up Martys extravagant ego or create an obstacle that tests the selfish lengths he is willing to go to. Timothée is asked to hit very few emotional beats and he does so with aplomb. Theres not much to this character. I dont care how dedicated he is as an actor, I didnt buy the emotional notes of that ending. At all. For such a long and boisterous film, theres something thin about it. A bit too pleased with itself?? Which feels galling considering how the film picks up ideas about white American male braggadocio and hunger and slick machinations of a man selling himself but glides on the surface of such things. So much sweat, for such minuscule results. I was thinking of writing about this (and got a pitch picked up at work admittedly edit which ended up not moving forward so this Letterboxd review-musings is all I am writing on the subject) but I am going to need to rewatch because so much of this didnt leave an imprint in my mind."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , marty-supreme           , Marty Supreme (2025)           , Josh Safdie
01 Dec 2025 ,    5.0, "Like many great actors and virtually all legitimate movie stars, Timothée Chalamet is a salesman at heart. But where most of them prefer to keep that like something of an open secret, the razor-cheeked Lisan al-Gaib  whos become a brand unto himself, despite showing up at a time when Hollywood remains far more invested in franchises than faces  has embraced his entrepreneurial zeal with the same winning commitment that he brings to literally everything else he does. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , marty-supreme           , Marty Supreme (2025)           , Josh Safdie
02 Jan 2026 ,    4.0, "This is not a redemption story! It is not a story of growth! It is, like the other films in the Safdie oeuvre, the story of a man who cant grow! A man whose narcissism and pathological insecurity render him unable to be vulnerable with anyone! A man whose only real drive in life is to get over on others  to take without apology. A man so profoundly self-absorbed that he cant even begin to see the lives he ruins with each careless action and impulsive decision. And to be clear, he ruins every life that he touches."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , marty-supreme           , Marty Supreme (2025)           , Josh Safdie
20 Dec 2025 ,    2.0, Nothing about Marty Supreme sits right with me.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , marty-supreme           , Marty Supreme (2025)           , Josh Safdie
