criterio,promedio + frases de reseña,solo descripción (control),promedio + descripción (control),promedio (sin frases),solo frases de reseña
camaradería_masculina_rancia,-0.02535493360737129,-0.028675722313013186,-0.02510962444765963,-0.02514208455376732,-0.03073344788207555
insoportabilidad_prolongada,0.18258225975047515,0.1217791165133757,0.14579826022996378,0.1413793529458205,0.20537863190978478
control_emocional_artificial,0.3511594932857819,-0.006217721672538534,0.3504858560091255,0.34531812232293657,0.14847384500269378
personajes_diorama,0.19063340243117488,-0.022588329438412602,0.19059311982449267,0.18909936233055435,-0.00377164626842319
caos_asfixiante,0.07093756766617354,0.04175946416465881,0.06605159177823883,0.05710883785494103,-0.024183221664113574
