representacion,dimensiones,MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
promedio + frases de reseña,384-394,0.6025355475821332,0.33187168976117554,0.35975396301391227,0.15399155790524682
solo descripción (control),2-384,0.6026212127124223,0.31498623170496143,0.35975396301391227,0.021211361450814037
promedio + descripción (control),384-386,0.6061368855001557,0.3220264324475278,0.35975396301391227,0.14556384067883224
promedio (sin frases),384,0.6075200308430596,0.31845199838152727,0.35975396301391227,0.14155271818009701
solo frases de reseña,8-384,0.6149836185781546,0.31346357479384146,0.35975396301391227,0.05903283221957325
