representacion,dimensiones,MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"percentil 90 por dimensión, todas las reseñas",768,0.5869817389577481,0.40696550111729324,0.42343379663942027,0.14212534115539496
"percentil 90 por dimensión, hasta 100 reseñas",768,0.5876306139379659,0.4074423308775448,0.42328989243672205,0.1420642358417483
"promedio + percentiles de similitud, todas las reseñas",816,0.5930025424068539,0.4105995099523738,0.42192794244116794,0.12919157481343713
"percentil 75 por dimensión, todas las reseñas",768,0.5933288840307303,0.41894974284249065,0.42556705927852095,0.13903715496234642
"percentil 75 por dimensión, hasta 100 reseñas",768,0.5937930488078876,0.4204850463983342,0.4251434317245427,0.13844579536957652
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.593991882393465,0.4108325650567862,0.4222139510543358,0.130081052983295
"promedio, hasta 100 reseñas",768,0.5958889902670069,0.4084468928567455,0.41644376392182975,0.12628627842407675
"promedio, todas las reseñas",768,0.596267361247248,0.40567245341588276,0.41568357920517424,0.1254700972951674
"percentil 90 por dimensión, hasta 50 reseñas",768,0.605176720344199,0.3856900904064495,0.4184824520380627,0.15158105163840038
"percentil 75 por dimensión, hasta 50 reseñas",768,0.6091481667089813,0.39254417291112653,0.4223369576646253,0.1348646679080316
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.6153622701587819,0.3784198987791515,0.4225444176444615,0.13372726331792056
"promedio, hasta 50 reseñas",768,0.6164745015072635,0.375497621882781,0.41524815628631034,0.09683119121695856
