representacion,dimensiones,ρ Spearman,Δ ρ,desv. Δ ρ,mejora ρ,NDCG@10,Precisión@10,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
solo frases de reseña,8-768,0.6775404243912726,0.012097879981071268,0.006163307242757551,10/10,0.9361258008984287,0.27,0.5859941754263402,0.0004221001744529218,0.003963389616311096,0.38148725517573834,0.4491532142364769,0.03560030751893662
"promedio + frases de reseña, ponderadas",768-778,0.6736725461166719,0.008230001706470591,0.004991801596777199,10/10,0.9372601941247515,0.27999999999999997,0.5812635414084761,-0.0043085338434111775,0.0023355587333337203,0.3927906413548907,0.4491532142364769,0.2003839132185933
solo descripción (control),2-768,0.6715468234615922,0.006104279051391026,0.007606746902397101,7/10,0.9396934512815612,0.31,0.5911667965815164,0.005594721329628993,0.004162524225694245,0.3705249241105903,0.4491532142364769,-0.01254525970586114
promedio + frases de reseña,768-778,0.667465787322956,0.0020232429127548302,0.0023548735624188857,9/10,0.9378395751156929,0.29,0.5844111418497155,-0.001160933402171871,0.0007691588839124111,0.389566455373432,0.4491532142364769,0.19677016827428473
promedio (sin frases),768,0.6654425444102012,0.0,0.0,referencia,0.9378493393598906,0.29,0.5855720752518874,0.0,0.0,0.38809332591044965,0.4491532142364769,0.19141663462615188
promedio + descripción (control),768-770,0.6653939397324129,-4.86046777882998e-05,0.00038741128123608335,2/10,0.9378493393598906,0.29,0.5855236745892268,-4.840066266048604e-05,5.715953868457734e-05,0.3881271223408205,0.4491532142364769,0.19139855285960702
