criterio,solo descripción (control),solo frases de reseña,promedio + frases de reseña,promedio (sin frases),promedio + descripción (control),"promedio + frases de reseña, ponderadas"
camaradería_masculina_rancia,-0.021432610928956253,-0.023933306832038648,-0.013696342713543164,-0.013605839849214329,-0.013600669746841066,-0.022447849161619394
insoportabilidad_prolongada,0.11691173137888397,0.20583414023847765,0.17585212705105102,0.139174940951111,0.14518332965130984,0.17281546843050105
control_emocional_artificial,-0.01722841453403885,0.10119017122392962,0.2970142194291719,0.2664496590342463,0.2692008110709991,0.36275372566326486
personajes_diorama,-0.03035889475706055,-0.010391677860462268,0.1382137754331633,0.13961996457077167,0.13984075098372933,0.061963062055623096
caos_asfixiante,0.04350457814240964,0.0007818380122025292,0.07902919922258718,0.061939580951957264,0.07108586261617218,0.07355103343410323
