criterio,solo descripción (control),"promedio + frases de reseña, ponderadas",promedio + frases de reseña,promedio (sin frases),promedio + descripción (control),solo frases de reseña
camaradería_masculina_rancia,-0.02157298582978493,-0.02009506382963875,-0.013890261222591826,-0.013602265112745805,-0.013600789936183499,-0.016558450174313545
insoportabilidad_prolongada,0.11648531668485618,0.20658716629410315,0.17628408525654232,0.13899443859558472,0.14491967313240836,0.20722657148368526
control_emocional_artificial,-0.0172264809911991,0.3649385181822612,0.2968488191596811,0.2665593481597293,0.26864829265153034,0.09978821532768689
personajes_diorama,-0.027924095202124865,0.05816158721211495,0.13844729014208906,0.1399237516801268,0.13996768860043743,-0.010248329701511905
caos_asfixiante,0.039776373171042566,0.08021954993774369,0.07778864644311549,0.06188364227679553,0.07108396215106945,0.010048243276183033
