representacion,dimensiones,NDCG@10,Δ NDCG@10,desv. Δ NDCG@10,Precisión@10,ρ Spearman,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"percentil 95 por dimensión, hasta 50 reseñas",384,0.9533247170366634,0.024102285719571005,0.018556487826037214,0.45999999999999996,0.6339853627061893,0.6217727046391379,-0.006926214477692016,0.01601306995907909,0.3166468525472806,0.34928886241096596,0.09077050258378667
"percentil 95 por dimensión, hasta 100 reseñas",384,0.9461533402579102,0.01693090894081777,0.012982095376138847,0.44000000000000006,0.6040507371738596,0.6275590094099763,-0.0011399097068534926,0.004627082608108243,0.3255999659420724,0.33931413146143197,0.1082197484916596
"percentil 95 por dimensión, todas las reseñas",384,0.9454100976080786,0.016187666290986245,0.01141706670824142,0.36,0.5949411664789788,0.6345797598572164,0.005880840740386484,0.011141106011383234,0.28281106983142823,0.34882515594796726,0.10643169337578215
"percentil 90 por dimensión, hasta 100 reseñas",384,0.9402197667962788,0.010997335479186354,0.010530408471023505,0.33999999999999997,0.6020468190125147,0.6366785213797057,0.007979602262875774,0.0051611352318275865,0.28785912692518084,0.32585031066998804,0.10244098033767643
"percentil 90 por dimensión, hasta 50 reseñas",384,0.9352447171331363,0.006022285816043782,0.010518842502130239,0.26,0.6193629674727633,0.6278521832666144,-0.0008467358502154632,0.013412761709004177,0.29913965585584945,0.3406417364686101,0.10946953942284261
"percentil 75 por dimensión, hasta 100 reseñas",384,0.9308899695405455,0.0016675382234530244,0.008027486914636802,0.3,0.6047077787217934,0.6411814544487455,0.012482535331915656,0.006949572275503704,0.28301289102426763,0.3237427814374775,0.10474753266326445
"promedio + percentiles de similitud, hasta 100 reseñas",432,0.9304526847206012,0.0012302534035087298,0.006960668796234462,0.27999999999999997,0.6155062155701865,0.6299964363138968,0.0012975171970669441,0.010126290773203176,0.29211915752739365,0.3378720431840982,0.10168628356815068
"promedio, todas las reseñas",384,0.9292224313170925,0.0,0.0,0.27999999999999997,0.6015373482935287,0.62869891911683,0.0,0.0,0.28858163094893163,0.3443338690110752,0.11875178311989812
"promedio + percentiles de similitud, todas las reseñas",432,0.9291740136694312,-4.8417647661191944e-05,0.0011096317996339851,0.27999999999999997,0.6033316221820035,0.6292525116762038,0.0005535925593739055,0.004049501507285597,0.2906072002170773,0.3546833148742548,0.11689287733969764
"percentil 90 por dimensión, todas las reseñas",384,0.9289148038801809,-0.0003076274369115506,0.011420971063621426,0.33999999999999997,0.6042896613731082,0.6330617125241361,0.004362793407306276,0.009545834516073288,0.29705679875087265,0.344341419739604,0.11853572215914128
"promedio, hasta 100 reseñas",384,0.9275170651420146,-0.0017053661750778605,0.010996193779938646,0.26,0.615660813581465,0.6301724551220886,0.00147353600525868,0.008124256715437175,0.29544865318533287,0.3283129636604654,0.10304406708569117
"percentil 75 por dimensión, todas las reseñas",384,0.92615814535884,-0.0030642859582524773,0.008780469601715109,0.27999999999999997,0.592671386586117,0.6410921265338654,0.012393207417035468,0.012686005208087004,0.2777641865017445,0.33802293158906976,0.11887943889432044
"percentil 75 por dimensión, hasta 50 reseñas",384,0.9238712737064787,-0.00535115761061371,0.013786905531224861,0.24,0.5977942025053005,0.6400065953752029,0.011307676258373056,0.015617328333378014,0.27644809469508597,0.31728261634840177,0.1018281484980514
"percentil 50 por dimensión, todas las reseñas",384,0.9224984127860253,-0.0067240185310670775,0.004137638875180855,0.26,0.5986198964291743,0.6311531555548439,0.0024542364380140346,0.002016571466759534,0.27770313502341826,0.33078540705511356,0.11775733533625403
"percentil 50 por dimensión, hasta 100 reseñas",384,0.9223407167918207,-0.0068817145252717095,0.010092181412051173,0.24,0.6112172919542628,0.63355299427016,0.004854075153330073,0.0035504987120040404,0.2783458945529339,0.3142405776149128,0.09588134651160204
"promedio, hasta 50 reseñas",384,0.9216042377359273,-0.007618193581165267,0.014858908929810817,0.2,0.6022459225118885,0.6378403806531354,0.00914146153630555,0.015273882942266441,0.27810221483914904,0.31997144608433453,0.10563219908872837
"promedio + percentiles de similitud, hasta 50 reseñas",432,0.9160638721387165,-0.013158559178375962,0.009036566760128182,0.18,0.5989548587869444,0.6365491456795201,0.007850226562690254,0.01592826793596578,0.27668510585130973,0.3237381713265201,0.10004351571695883
"percentil 50 por dimensión, hasta 50 reseñas",384,0.9105665381119558,-0.01865589320513661,0.013514826122926139,0.18,0.587176130003399,0.6439053392179515,0.015206420101121564,0.015891757827146753,0.2593703358714321,0.29625120178708575,0.0970589542974454
